timestamp,observer_vehicle_id,vehicle_0_x,vehicle_0_y,vehicle_0_theta,vehicle_0_velocity,vehicle_1_x,vehicle_1_y,vehicle_1_theta,vehicle_1_velocity
1759504929.8169677,0,-1.2050000429153442,-0.8299997448921204,-0.7176768750181033,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.8269906,0,-1.2050000429153442,-0.8299997448921204,-0.7176795207527711,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.8370006,0,-1.2050000429153442,-0.8299997448921204,-0.717681649021454,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.848454,0,-1.2050000429153442,-0.8299997448921204,-0.7176827745761631,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.858498,0,-1.2050000429153442,-0.8299997448921204,-0.7176843534736648,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.8695216,0,-1.2050000429153442,-0.8299997448921204,-0.7176853436599195,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.8804688,0,-1.2050000429153442,-0.8299997448921204,-0.7176862759298254,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.8918417,0,-1.2050000429153442,-0.8299997448921204,-0.7176870133266746,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.9047608,0,-1.2050000429153442,-0.8299997448921204,-0.7176872823922196,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.9160297,0,-1.2050000429153442,-0.8299997448921204,-0.7176881896616081,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.9273129,0,-1.2050000429153442,-0.8299997448921204,-0.717689044124505,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.938268,0,-1.2050000429153442,-0.8299997448921204,-0.7176898978510042,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.9497333,0,-1.2050000429153442,-0.8299997448921204,-0.7176905234093649,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.960674,0,-1.2050000429153442,-0.8299997448921204,-0.7176912284072756,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.971494,0,-1.2050000429153442,-0.8299997448921204,-0.7176918870314566,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.9825244,0,-1.2050000429153442,-0.8299997448921204,-0.717692423361413,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504929.9928975,0,-1.2050000429153442,-0.8299997448921204,-0.7176930469672057,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504930.007777,0,-1.2050000429153442,-0.8299997448921204,-0.7176927126320383,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504930.0179858,0,-1.2050000429153442,-0.8299997448921204,-0.7176934783940112,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504930.0287597,0,-1.2050000429153442,-0.8299997448921204,-0.7176940629618862,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504930.0396867,0,-1.2050000429153442,-0.8299997448921204,-0.7176945276873905,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504930.0506272,0,-1.2050000429153442,-0.8299997448921204,-0.7176949333153358,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504930.0608,0,-1.2050000429153442,-0.8299997448921204,-0.7176954200051107,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504930.0717022,0,-1.2050000429153442,-0.8299997448921204,-0.7176957246051536,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504930.081926,0,-1.2050000429153442,-0.8299997448921204,-0.7176961027815877,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
1759504930.093379,0,-1.2050000429153442,-0.8299997448921204,-0.7176962622055036,0.0,-1.7113998519620757,-0.3452391632200153,-2.841955647276424,0.0
